file,label
Bach | Cello Suite No. 1 in G Major,3
Bach | Cello Suite No. 2 in D Minor,3
Bach | Cello Suite No. 3 in C Major,1
Bach | Cello Suite No. 4 in E-flat Major,1
Bach | Cello Suite No. 5 in C Minor,3
Bach | Cello Suite No. 6 in D Major,1
Chopin | Étude Op. 10 No. 1 'Waterfall',2
Chopin | Étude Op. 10 No. 2 'Chromatic',2
Chopin | Étude Op. 10 No. 4 'Torrent',0
Chopin | Étude Op. 10 No. 5 'Black Keys',0
Chopin | Étude Op. 10 No. 6 'Lament',4
Chopin | Étude Op. 10 No. 7 'Toccata',2
Chopin | Étude Op. 10 No. 8 'Sunshine',0
Chopin | Étude Op. 10 No. 9,0
Chopin | Étude Op. 10 No. 10,2
Chopin | Étude Op. 25 No. 2 'The Bees',4
Chopin | Étude Op. 25 No. 9 'Butterfly',0
Chopin | Étude Op. 25 No. 11 'Winter Wind',3
Chopin | Étude Op. 25 No. 12 'Ocean',2
Chopin | Waltz Op. 34 No. 1 in A-flat Major,2
Chopin | Waltz Op. 34 No. 2 in A Minor,0
Chopin | Waltz Op. 34 No. 3 in F Major,0
Chopin | Waltz Op. 64 No. 1 'Minute Waltz',0
Chopin | Waltz Op. 64 No. 2 in C Minor,0
Chopin | Waltz Op. 64 No. 3 in A-flat Major,0
Chopin | Waltz Op. 42 in A Major,3
Mozart | Minuet in G Major,3
"Mozart | Piano Sonata No. 10 in C Major, K. 330 (1st movement)",0
"Mozart | Piano Sonata No. 11 in A Major, K. 331 'Rondo Alla Turca'",0
Satie | Gnossienne No. 1,4
Satie | Gnossienne No. 2,4
Satie | Gnossienne No. 3,4
Satie | Gnossienne No. 4,0
Ysaÿe | Violin Sonata No. 1 in G Minor,3
Ysaÿe | Violin Sonata No. 2 in A Minor,2
Ysaÿe | Violin Sonata No. 3 in D Minor,2
Ysaÿe | Violin Sonata No. 4 in E Minor,3
Ysaÿe | Violin Sonata No. 5 in G Major,3
Ysaÿe | Violin Sonata No. 6 in E Major,2
