file,label
Bach | Cello Suite No. 1 in G Major,1
Bach | Cello Suite No. 2 in D Minor,1
Bach | Cello Suite No. 3 in C Major,1
Bach | Cello Suite No. 4 in E-flat Major,2
Bach | Cello Suite No. 5 in C Minor,2
Bach | Cello Suite No. 6 in D Major,2
Chopin | Étude Op. 10 No. 1 'Waterfall',4
Chopin | Étude Op. 10 No. 2 'Chromatic',4
Chopin | Étude Op. 10 No. 4 'Torrent',0
Chopin | Étude Op. 10 No. 5 'Black Keys',0
Chopin | Étude Op. 10 No. 6 'Lament',0
Chopin | Étude Op. 10 No. 7 'Toccata',4
Chopin | Étude Op. 10 No. 8 'Sunshine',0
Chopin | Étude Op. 10 No. 9,3
Chopin | Étude Op. 10 No. 10,0
Chopin | Étude Op. 25 No. 2 'The Bees',3
Chopin | Étude Op. 25 No. 9 'Butterfly',0
Chopin | Étude Op. 25 No. 11 'Winter Wind',1
Chopin | Étude Op. 25 No. 12 'Ocean',4
Chopin | Waltz Op. 34 No. 1 in A-flat Major,4
Chopin | Waltz Op. 34 No. 2 in A Minor,0
Chopin | Waltz Op. 34 No. 3 in F Major,3
Chopin | Waltz Op. 64 No. 1 'Minute Waltz',3
Chopin | Waltz Op. 64 No. 2 in C Minor,0
Chopin | Waltz Op. 64 No. 3 in A-flat Major,0
Chopin | Waltz Op. 42 in A Major,1
Mozart | Minuet in G Major,4
"Mozart | Piano Sonata No. 10 in C Major, K. 330 (1st movement)",0
"Mozart | Piano Sonata No. 11 in A Major, K. 331 'Rondo Alla Turca'",3
Satie | Gnossienne No. 1,3
Satie | Gnossienne No. 2,3
Satie | Gnossienne No. 3,3
Satie | Gnossienne No. 4,3
Ysaÿe | Violin Sonata No. 1 in G Minor,2
Ysaÿe | Violin Sonata No. 2 in A Minor,4
Ysaÿe | Violin Sonata No. 3 in D Minor,4
Ysaÿe | Violin Sonata No. 4 in E Minor,1
Ysaÿe | Violin Sonata No. 5 in G Major,1
Ysaÿe | Violin Sonata No. 6 in E Major,4
